country	date	index	value
Brazil	2014-10	98.6	-1.4
Brazil	2014-11	98.6	-1.4
Brazil	2014-12	98.6	-1.4
Brazil	2015-01	98.4	-1.6
Brazil	2015-02	98.2	-1.8
Brazil	2015-03	97.8	-2.2
Brazil	2015-04	97.4	-2.6
Brazil	2015-05	97.2	-2.8
Brazil	2015-06	97.0	-3.0
Brazil	2015-07	96.9	-3.1
Brazil	2015-08	96.9	-3.1
Brazil	2015-09	96.9	-3.1
Brazil	2015-10	97.0	-3.0
Brazil	2015-11	97.1	-2.9
China	2000-05	99.9	-0.1
China	2000-06	100.1	0.1
China	2000-07	100.2	0.2
China	2000-08	100.1	0.1
China	2000-09	99.6	-0.4
China	2000-10	99.0	-1.0
China	2000-11	98.7	-1.3
China	2000-12	99.0	-1.0
China	2001-01	99.4	-0.6
China	2001-02	99.7	-0.3
China	2001-03	99.4	-0.6
China	2001-04	98.8	-1.2
China	2001-05	98.2	-1.8
China	2001-06	97.8	-2.2
China	2001-07	97.6	-2.4
China	2001-08	97.5	-2.5
China	2001-09	97.5	-2.5
China	2001-10	97.6	-2.4
China	2001-11	98.0	-2.0
China	2001-12	98.7	-1.3
China	2002-01	99.7	-0.3
China	2002-02	100.4	0.4
China	2002-03	100.8	0.8
China	2002-04	100.9	0.9
China	2002-05	101.0	1.0
China	2002-06	101.2	1.2
China	2002-07	101.5	1.5
China	2002-08	101.8	1.8
China	2002-09	101.8	1.8
China	2002-10	101.7	1.7
China	2002-11	101.3	1.3
China	2002-12	100.6	0.6
China	2003-01	99.9	-0.1
China	2003-02	99.6	-0.4
China	2003-03	100.0	0.0
China	2003-04	100.8	0.8
China	2003-05	101.6	1.6
China	2003-06	102.2	2.2
China	2003-07	102.7	2.7
China	2003-08	102.9	2.9
China	2003-09	103.0	3.0
China	2003-10	103.0	3.0
China	2003-11	102.8	2.8
China	2003-12	102.5	2.5
China	2004-01	102.1	2.1
China	2004-02	101.8	1.8
China	2004-03	101.6	1.6
China	2004-04	101.6	1.6
China	2004-05	101.7	1.7
China	2004-06	101.7	1.7
China	2004-07	101.8	1.8
China	2004-08	101.8	1.8
China	2004-09	101.6	1.6
China	2004-10	101.3	1.3
China	2004-11	101.1	1.1
China	2004-12	101.0	1.0
China	2005-01	101.3	1.3
China	2005-02	101.7	1.7
China	2005-03	102.0	2.0
China	2005-04	101.6	1.6
China	2005-05	100.7	0.7
China	2005-06	99.9	-0.1
China	2005-07	99.7	-0.3
China	2005-08	100.2	0.2
China	2005-09	100.7	0.7
China	2005-10	100.9	0.9
China	2005-11	100.8	0.8
China	2005-12	100.6	0.6
China	2006-01	100.3	0.3
China	2006-02	100.6	0.6
China	2006-03	101.3	1.3
China	2006-04	101.8	1.8
China	2006-05	101.5	1.5
China	2006-06	100.9	0.9
China	2006-07	100.6	0.6
China	2006-08	100.8	0.8
China	2006-09	101.4	1.4
China	2006-10	101.5	1.5
China	2006-11	101.4	1.4
China	2006-12	101.3	1.3
China	2007-01	101.2	1.2
China	2007-02	101.3	1.3
China	2007-03	101.9	1.9
China	2007-04	102.2	2.2
China	2007-05	101.9	1.9
China	2007-06	101.3	1.3
China	2007-07	100.9	0.9
China	2007-08	101.0	1.0
China	2007-09	101.1	1.1
China	2007-10	101.1	1.1
China	2007-11	101.2	1.2
China	2007-12	101.1	1.1
China	2008-01	101.0	1.0
China	2008-02	101.5	1.5
China	2008-03	102.3	2.3
China	2008-04	102.3	2.3
China	2008-05	101.1	1.1
China	2008-06	99.8	-0.2
China	2008-07	98.7	-1.3
China	2008-08	98.0	-2.0
China	2008-09	97.3	-2.7
China	2008-10	95.6	-4.4
China	2008-11	94.3	-5.7
China	2008-12	94.5	-5.5
China	2009-01	96.0	-4.0
China	2009-02	97.8	-2.2
China	2009-03	99.4	-0.6
China	2009-04	100.3	0.3
China	2009-05	100.5	0.5
China	2009-06	100.5	0.5
China	2009-07	100.6	0.6
China	2009-08	100.8	0.8
China	2009-09	101.1	1.1
China	2009-10	101.4	1.4
China	2009-11	101.6	1.6
China	2009-12	101.7	1.7
China	2010-01	101.4	1.4
China	2010-02	101.0	1.0
China	2010-03	101.1	1.1
China	2010-04	101.1	1.1
China	2010-05	100.6	0.6
China	2010-06	100.0	0.0
China	2010-07	99.7	-0.3
China	2010-08	99.9	-0.1
China	2010-09	100.5	0.5
China	2010-10	101.0	1.0
China	2010-11	101.1	1.1
China	2010-12	100.8	0.8
China	2011-01	100.4	0.4
China	2011-02	100.2	0.2
China	2011-03	100.2	0.2
China	2011-04	100.0	0.0
China	2011-05	99.7	-0.3
China	2011-06	99.4	-0.6
China	2011-07	99.2	-0.8
China	2011-08	99.1	-0.9
China	2011-09	99.0	-1.0
China	2011-10	98.8	-1.2
China	2011-11	98.6	-1.4
China	2011-12	98.7	-1.3
China	2012-01	99.0	-1.0
China	2012-02	99.5	-0.5
China	2012-03	99.9	-0.1
China	2012-04	99.9	-0.1
China	2012-05	99.3	-0.7
China	2012-06	98.9	-1.1
China	2012-07	98.6	-1.4
China	2012-08	98.5	-1.5
China	2012-09	98.5	-1.5
China	2012-10	98.7	-1.3
China	2012-11	98.9	-1.1
China	2012-12	98.9	-1.1
China	2013-01	98.9	-1.1
China	2013-02	98.9	-1.1
China	2013-03	99.0	-1.0
China	2013-04	99.0	-1.0
China	2013-05	99.0	-1.0
China	2013-06	98.9	-1.1
China	2013-07	98.9	-1.1
China	2013-08	99.1	-0.9
China	2013-09	99.3	-0.7
China	2013-10	99.4	-0.6
China	2013-11	99.3	-0.7
China	2013-12	99.2	-0.8
China	2014-01	99.0	-1.0
China	2014-02	98.8	-1.2
China	2014-03	98.8	-1.2
China	2014-04	98.9	-1.1
China	2014-05	99.1	-0.9
China	2014-06	99.3	-0.7
China	2014-07	99.4	-0.6
China	2014-08	99.3	-0.7
China	2014-09	99.2	-0.8
China	2014-10	99.1	-0.9
China	2014-11	98.9	-1.1
China	2014-12	98.7	-1.3
China	2015-01	98.6	-1.4
China	2015-02	98.6	-1.4
China	2015-03	98.7	-1.3
China	2015-04	98.7	-1.3
China	2015-05	98.7	-1.3
China	2015-06	98.7	-1.3
China	2015-07	98.7	-1.3
China	2015-08	98.6	-1.4
China	2015-09	98.5	-1.5
China	2015-10	98.5	-1.5
China	2015-11	98.5	-1.5
India	2000-05	100.2	0.2
India	2000-06	100.6	0.6
India	2000-07	100.9	0.9
India	2000-08	101.1	1.1
India	2000-09	101.2	1.2
India	2000-10	101.1	1.1
India	2000-11	101.0	1.0
India	2000-12	100.9	0.9
India	2001-01	100.7	0.7
India	2001-02	100.5	0.5
India	2001-03	100.4	0.4
India	2001-04	100.3	0.3
India	2001-05	100.2	0.2
India	2001-06	100.1	0.1
India	2001-07	100.0	0.0
India	2001-08	99.7	-0.3
India	2001-09	99.2	-0.8
India	2001-10	98.6	-1.4
India	2001-11	98.2	-1.8
India	2001-12	98.3	-1.7
India	2002-01	98.7	-1.3
India	2002-02	99.1	-0.9
India	2002-03	99.4	-0.6
India	2002-04	99.6	-0.4
India	2002-05	99.8	-0.2
India	2002-06	100.0	0.0
India	2002-07	100.1	0.1
India	2002-08	100.3	0.3
India	2002-09	100.3	0.3
India	2002-10	100.4	0.4
India	2002-11	100.3	0.3
India	2002-12	100.2	0.2
India	2003-01	100.1	0.1
India	2003-02	99.9	-0.1
India	2003-03	99.8	-0.2
India	2003-04	99.7	-0.3
India	2003-05	99.7	-0.3
India	2003-06	99.9	-0.1
India	2003-07	100.2	0.2
India	2003-08	100.5	0.5
India	2003-09	100.8	0.8
India	2003-10	101.0	1.0
India	2003-11	101.1	1.1
India	2003-12	101.2	1.2
India	2004-01	101.2	1.2
India	2004-02	101.1	1.1
India	2004-03	101.0	1.0
India	2004-04	100.8	0.8
India	2004-05	100.7	0.7
India	2004-06	100.8	0.8
India	2004-07	101.0	1.0
India	2004-08	101.1	1.1
India	2004-09	101.2	1.2
India	2004-10	101.2	1.2
India	2004-11	101.2	1.2
India	2004-12	101.0	1.0
India	2005-01	100.9	0.9
India	2005-02	100.8	0.8
India	2005-03	100.8	0.8
India	2005-04	100.9	0.9
India	2005-05	101.0	1.0
India	2005-06	101.1	1.1
India	2005-07	101.2	1.2
India	2005-08	101.3	1.3
India	2005-09	101.3	1.3
India	2005-10	101.3	1.3
India	2005-11	101.3	1.3
India	2005-12	101.2	1.2
India	2006-01	101.1	1.1
India	2006-02	101.1	1.1
India	2006-03	101.1	1.1
India	2006-04	101.3	1.3
India	2006-05	101.4	1.4
India	2006-06	101.5	1.5
India	2006-07	101.6	1.6
India	2006-08	101.6	1.6
India	2006-09	101.7	1.7
India	2006-10	101.7	1.7
India	2006-11	101.7	1.7
India	2006-12	101.7	1.7
India	2007-01	101.7	1.7
India	2007-02	101.6	1.6
India	2007-03	101.5	1.5
India	2007-04	101.4	1.4
India	2007-05	101.3	1.3
India	2007-06	101.3	1.3
India	2007-07	101.3	1.3
India	2007-08	101.3	1.3
India	2007-09	101.2	1.2
India	2007-10	101.1	1.1
India	2007-11	101.0	1.0
India	2007-12	101.1	1.1
India	2008-01	101.2	1.2
India	2008-02	101.3	1.3
India	2008-03	101.2	1.2
India	2008-04	101.0	1.0
India	2008-05	100.7	0.7
India	2008-06	100.4	0.4
India	2008-07	100.1	0.1
India	2008-08	99.7	-0.3
India	2008-09	99.2	-0.8
India	2008-10	98.6	-1.4
India	2008-11	97.9	-2.1
India	2008-12	97.2	-2.8
India	2009-01	96.5	-3.5
India	2009-02	96.1	-3.9
India	2009-03	96.2	-3.8
India	2009-04	96.7	-3.3
India	2009-05	97.2	-2.8
India	2009-06	97.9	-2.1
India	2009-07	98.5	-1.5
India	2009-08	99.1	-0.9
India	2009-09	99.4	-0.6
India	2009-10	99.7	-0.3
India	2009-11	99.9	-0.1
India	2009-12	100.0	0.0
India	2010-01	100.1	0.1
India	2010-02	100.2	0.2
India	2010-03	100.3	0.3
India	2010-04	100.4	0.4
India	2010-05	100.6	0.6
India	2010-06	100.8	0.8
India	2010-07	100.9	0.9
India	2010-08	101.1	1.1
India	2010-09	101.2	1.2
India	2010-10	101.2	1.2
India	2010-11	101.2	1.2
India	2010-12	101.1	1.1
India	2011-01	101.0	1.0
India	2011-02	100.9	0.9
India	2011-03	100.8	0.8
India	2011-04	100.6	0.6
India	2011-05	100.5	0.5
India	2011-06	100.3	0.3
India	2011-07	100.1	0.1
India	2011-08	99.9	-0.1
India	2011-09	99.8	-0.2
India	2011-10	99.8	-0.2
India	2011-11	99.8	-0.2
India	2011-12	99.8	-0.2
India	2012-01	99.8	-0.2
India	2012-02	99.8	-0.2
India	2012-03	99.6	-0.4
India	2012-04	99.4	-0.6
India	2012-05	99.2	-0.8
India	2012-06	99.1	-0.9
India	2012-07	99.1	-0.9
India	2012-08	99.1	-0.9
India	2012-09	99.1	-0.9
India	2012-10	99.2	-0.8
India	2012-11	99.1	-0.9
India	2012-12	98.9	-1.1
India	2013-01	98.7	-1.3
India	2013-02	98.4	-1.6
India	2013-03	98.3	-1.7
India	2013-04	98.2	-1.8
India	2013-05	98.2	-1.8
India	2013-06	98.2	-1.8
India	2013-07	98.3	-1.7
India	2013-08	98.4	-1.6
India	2013-09	98.6	-1.4
India	2013-10	98.8	-1.2
India	2013-11	98.9	-1.1
India	2013-12	98.9	-1.1
India	2014-01	98.8	-1.2
India	2014-02	98.8	-1.2
India	2014-03	98.8	-1.2
India	2014-04	98.9	-1.1
India	2014-05	99.0	-1.0
India	2014-06	99.0	-1.0
India	2014-07	99.0	-1.0
India	2014-08	99.0	-1.0
India	2014-09	99.1	-0.9
India	2014-10	99.1	-0.9
India	2014-11	99.1	-0.9
India	2014-12	99.1	-0.9
India	2015-01	99.0	-1.0
India	2015-02	98.9	-1.1
India	2015-03	98.8	-1.2
India	2015-04	98.8	-1.2
India	2015-05	98.7	-1.3
India	2015-06	98.7	-1.3
India	2015-07	98.7	-1.3
India	2015-08	98.7	-1.3
India	2015-09	98.7	-1.3
India	2015-10	98.7	-1.3
India	2015-11	98.7	-1.3
Russia	2000-05	102.5	2.5
Russia	2000-06	102.9	2.9
Russia	2000-07	103.1	3.1
Russia	2000-08	103.4	3.4
Russia	2000-09	103.5	3.5
Russia	2000-10	103.5	3.5
Russia	2000-11	103.4	3.4
Russia	2000-12	102.9	2.9
Russia	2001-01	102.3	2.3
Russia	2001-02	101.7	1.7
Russia	2001-03	101.1	1.1
Russia	2001-04	100.7	0.7
Russia	2001-05	100.4	0.4
Russia	2001-06	100.5	0.5
Russia	2001-07	100.7	0.7
Russia	2001-08	101.0	1.0
Russia	2001-09	101.3	1.3
Russia	2001-10	101.3	1.3
Russia	2001-11	100.8	0.8
Russia	2001-12	100.0	0.0
Russia	2002-01	99.6	-0.4
Russia	2002-02	99.2	-0.8
Russia	2002-03	98.9	-1.1
Russia	2002-04	98.9	-1.1
Russia	2002-05	99.3	-0.7
Russia	2002-06	99.7	-0.3
Russia	2002-07	100.1	0.1
Russia	2002-08	100.6	0.6
Russia	2002-09	100.8	0.8
Russia	2002-10	100.9	0.9
Russia	2002-11	100.6	0.6
Russia	2002-12	100.2	0.2
Russia	2003-01	99.8	-0.2
Russia	2003-02	99.8	-0.2
Russia	2003-03	99.7	-0.3
Russia	2003-04	99.8	-0.2
Russia	2003-05	100.4	0.4
Russia	2003-06	101.1	1.1
Russia	2003-07	101.7	1.7
Russia	2003-08	102.1	2.1
Russia	2003-09	102.2	2.2
Russia	2003-10	102.4	2.4
Russia	2003-11	102.4	2.4
Russia	2003-12	102.2	2.2
Russia	2004-01	101.9	1.9
Russia	2004-02	101.5	1.5
Russia	2004-03	101.3	1.3
Russia	2004-04	101.2	1.2
Russia	2004-05	101.4	1.4
Russia	2004-06	101.6	1.6
Russia	2004-07	102.0	2.0
Russia	2004-08	102.4	2.4
Russia	2004-09	102.7	2.7
Russia	2004-10	102.7	2.7
Russia	2004-11	102.5	2.5
Russia	2004-12	102.1	2.1
Russia	2005-01	101.8	1.8
Russia	2005-02	101.7	1.7
Russia	2005-03	101.6	1.6
Russia	2005-04	101.5	1.5
Russia	2005-05	101.0	1.0
Russia	2005-06	100.6	0.6
Russia	2005-07	100.8	0.8
Russia	2005-08	101.2	1.2
Russia	2005-09	101.7	1.7
Russia	2005-10	101.7	1.7
Russia	2005-11	101.3	1.3
Russia	2005-12	101.1	1.1
Russia	2006-01	101.2	1.2
Russia	2006-02	101.5	1.5
Russia	2006-03	101.8	1.8
Russia	2006-04	102.1	2.1
Russia	2006-05	102.4	2.4
Russia	2006-06	102.7	2.7
Russia	2006-07	103.1	3.1
Russia	2006-08	103.4	3.4
Russia	2006-09	103.6	3.6
Russia	2006-10	103.8	3.8
Russia	2006-11	103.8	3.8
Russia	2006-12	103.8	3.8
Russia	2007-01	103.8	3.8
Russia	2007-02	104.0	4.0
Russia	2007-03	104.1	4.1
Russia	2007-04	104.2	4.2
Russia	2007-05	104.2	4.2
Russia	2007-06	104.2	4.2
Russia	2007-07	104.1	4.1
Russia	2007-08	104.1	4.1
Russia	2007-09	104.0	4.0
Russia	2007-10	103.7	3.7
Russia	2007-11	103.6	3.6
Russia	2007-12	103.4	3.4
Russia	2008-01	103.4	3.4
Russia	2008-02	103.3	3.3
Russia	2008-03	103.3	3.3
Russia	2008-04	103.4	3.4
Russia	2008-05	103.2	3.2
Russia	2008-06	102.9	2.9
Russia	2008-07	102.5	2.5
Russia	2008-08	101.9	1.9
Russia	2008-09	100.6	0.6
Russia	2008-10	98.6	-1.4
Russia	2008-11	96.4	-3.6
Russia	2008-12	95.1	-4.9
Russia	2009-01	94.6	-5.4
Russia	2009-02	94.9	-5.1
Russia	2009-03	95.3	-4.7
Russia	2009-04	95.7	-4.3
Russia	2009-05	96.4	-3.6
Russia	2009-06	96.9	-3.1
Russia	2009-07	97.5	-2.5
Russia	2009-08	98.1	-1.9
Russia	2009-09	98.7	-1.3
Russia	2009-10	99.1	-0.9
Russia	2009-11	99.2	-0.8
Russia	2009-12	99.1	-0.9
Russia	2010-01	99.4	-0.6
Russia	2010-02	99.8	-0.2
Russia	2010-03	100.2	0.2
Russia	2010-04	100.7	0.7
Russia	2010-05	101.2	1.2
Russia	2010-06	101.4	1.4
Russia	2010-07	101.9	1.9
Russia	2010-08	102.4	2.4
Russia	2010-09	102.8	2.8
Russia	2010-10	103.0	3.0
Russia	2010-11	102.7	2.7
Russia	2010-12	102.5	2.5
Russia	2011-01	102.3	2.3
Russia	2011-02	102.3	2.3
Russia	2011-03	102.2	2.2
Russia	2011-04	102.2	2.2
Russia	2011-05	102.4	2.4
Russia	2011-06	102.6	2.6
Russia	2011-07	102.3	2.3
Russia	2011-08	102.0	2.0
Russia	2011-09	101.7	1.7
Russia	2011-10	101.6	1.6
Russia	2011-11	101.3	1.3
Russia	2011-12	101.0	1.0
Russia	2012-01	100.8	0.8
Russia	2012-02	100.8	0.8
Russia	2012-03	100.7	0.7
Russia	2012-04	100.4	0.4
Russia	2012-05	100.1	0.1
Russia	2012-06	99.9	-0.1
Russia	2012-07	100.1	0.1
Russia	2012-08	100.5	0.5
Russia	2012-09	100.6	0.6
Russia	2012-10	100.3	0.3
Russia	2012-11	100.0	0.0
Russia	2012-12	100.0	0.0
Russia	2013-01	99.8	-0.2
Russia	2013-02	99.9	-0.1
Russia	2013-03	100.0	0.0
Russia	2013-04	100.0	0.0
Russia	2013-05	99.8	-0.2
Russia	2013-06	99.8	-0.2
Russia	2013-07	100.0	0.0
Russia	2013-08	100.2	0.2
Russia	2013-09	100.3	0.3
Russia	2013-10	100.3	0.3
Russia	2013-11	100.4	0.4
Russia	2013-12	100.3	0.3
Russia	2014-01	100.2	0.2
Russia	2014-02	100.1	0.1
Russia	2014-03	100.1	0.1
Russia	2014-04	100.1	0.1
Russia	2014-05	100.4	0.4
Russia	2014-06	101.0	1.0
Russia	2014-07	101.5	1.5
Russia	2014-08	101.8	1.8
Russia	2014-09	101.8	1.8
Russia	2014-10	101.6	1.6
Russia	2014-11	101.4	1.4
Russia	2014-12	101.2	1.2
Russia	2015-01	101.0	1.0
Russia	2015-02	100.8	0.8
Russia	2015-03	100.9	0.9
Russia	2015-04	101.1	1.1
Russia	2015-05	101.1	1.1
Russia	2015-06	100.9	0.9
Russia	2015-07	100.9	0.9
Russia	2015-08	101.2	1.2
Russia	2015-09	101.4	1.4
Russia	2015-10	101.3	1.3
Russia	2015-11	101.0	1.0
