Instituição,Cod.IBGE,UF,PODER,População,Conta,Valor
Governo do Estado de Roraima,14,RR,Executivo,505665,RECEITA CORRENTE LIQUIDA - RCL (IV),2919517844.1
Governo do Estado de Roraima,14,RR,Executivo,505665,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",1359035556.4
Governo do Estado de Roraima,14,RR,Executivo,505665,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",1430563743.6
Governo do Estado de Roraima,14,RR,Executivo,505665,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",1287507369.3
Governo do Estado de Roraima,14,RR,Executivo,505665,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),1368785445.3
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,RECEITA CORRENTE LIQUIDA - RCL (IV),31616523126.5
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",14717491515.4
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",15492096332.0
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",13942886698.8
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),15021430484.5
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,RECEITA CORRENTE LIQUIDA - RCL (IV),19795816098.7
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",9214952393.9
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",9699949888.4
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",8729954899.5
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),9250726345.7
Governo do Estado de Sergipe,28,SE,Executivo,2242937,RECEITA CORRENTE LIQUIDA - RCL (IV),6297705692.8
Governo do Estado de Sergipe,28,SE,Executivo,2242937,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",2931582000.0
Governo do Estado de Sergipe,28,SE,Executivo,2242937,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3085875789.5
Governo do Estado de Sergipe,28,SE,Executivo,2242937,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",2777288210.5
Governo do Estado de Sergipe,28,SE,Executivo,2242937,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),2907154236.3
Governo do Estado de São Paulo,35,SP,Executivo,44396484,RECEITA CORRENTE LIQUIDA - RCL (IV),141496347936.1
Governo do Estado de São Paulo,35,SP,Executivo,44396484,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",65866549964.3
Governo do Estado de São Paulo,35,SP,Executivo,44396484,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",69333210488.7
Governo do Estado de São Paulo,35,SP,Executivo,44396484,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",62399889439.8
Governo do Estado de São Paulo,35,SP,Executivo,44396484,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),65606626652.9
Governo do Estado do Tocantins,17,TO,Executivo,1515126,RECEITA CORRENTE LIQUIDA - RCL (IV),6435301473.5
Governo do Estado do Tocantins,17,TO,Executivo,1515126,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",2995632835.9
Governo do Estado do Tocantins,17,TO,Executivo,1515126,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3153297722.0
Governo do Estado do Tocantins,17,TO,Executivo,1515126,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",2837967949.8
Governo do Estado do Tocantins,17,TO,Executivo,1515126,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),3389057457.6
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,RECEITA CORRENTE LIQUIDA - RCL (IV),3906065810.2
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",222645751.2
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",234363948.6
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",210927553.8
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),181601478.3
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,RECEITA CORRENTE LIQUIDA - RCL (IV),10622700546.6
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",605493931.2
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",637362032.8
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",573625829.5
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),412023832.8
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,RECEITA CORRENTE LIQUIDA - RCL (IV),3827160251.3
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",218148134.3
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",229629615.1
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",206666653.6
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),182783400.2
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,RECEITA CORRENTE LIQUIDA - RCL (IV),27329461677.0
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",1557779315.6
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",1639767700.6
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",1475790930.6
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),1379748080.6
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,RECEITA CORRENTE LIQUIDA - RCL (IV),15573029856.0
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",887662701.8
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",934381791.4
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",840943612.2
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),868609747.9
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,RECEITA CORRENTE LIQUIDA - RCL (IV),11887670740.1
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",677597232.2
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",713260244.4
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",641934220.0
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),737193992.3
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,RECEITA CORRENTE LIQUIDA - RCL (IV),17908053634.5
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",1020759057.2
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",1074483218.1
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",967034896.3
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),896361770.9
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,RECEITA CORRENTE LIQUIDA - RCL (IV),10802513622.5
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",615743276.5
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",648150817.4
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",583335735.6
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),587422190.5
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,RECEITA CORRENTE LIQUIDA - RCL (IV),52887513009.4
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,RECEITA CORRENTE LIQUIDA - RCL (IV),52887513009.4
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",2969369417.9
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",45218823.6
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3125652018.9
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",47598761.7
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",2813086817.0
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",42838885.5
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),2723899478.3
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),29514180.6
Tribunal de Justiça do Estado do Mato Grosso,51,MT,Judiciário,3265486,RECEITA CORRENTE LIQUIDA - RCL (IV),12209085734.5
Tribunal de Justiça do Estado do Mato Grosso,51,MT,Judiciário,3265486,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",695917886.9
Tribunal de Justiça do Estado do Mato Grosso,51,MT,Judiciário,3265486,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",732545144.1
