Instituição,Cod.IBGE,UF,PODER,População,Conta,Valor
Governo do Estado do Amapá,16,AP,Executivo,766679,RECEITA CORRENTE LIQUIDA - RCL (IV),"3,827,160,251.26"
Governo do Estado do Amapá,16,AP,Executivo,766679,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","1,781,543,096.96"
Governo do Estado do Amapá,16,AP,Executivo,766679,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","1,875,308,523.12"
Governo do Estado do Amapá,16,AP,Executivo,766679,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","1,687,777,670.81"
Governo do Estado do Amapá,16,AP,Executivo,766679,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"1,632,292,869.47"
Governo do Estado da Bahia,29,BA,Executivo,15203934,RECEITA CORRENTE LIQUIDA - RCL (IV),"27,329,461,676.97"
Governo do Estado da Bahia,29,BA,Executivo,15203934,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","12,618,012,456.26"
Governo do Estado da Bahia,29,BA,Executivo,15203934,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","13,282,118,375.01"
Governo do Estado da Bahia,29,BA,Executivo,15203934,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","11,953,906,537.51"
Governo do Estado da Bahia,29,BA,Executivo,15203934,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"13,194,322,737.06"
Governo do Estado do Ceará,23,CE,Executivo,8904459,RECEITA CORRENTE LIQUIDA - RCL (IV),"15,573,029,856.00"
Governo do Estado do Ceará,23,CE,Executivo,8904459,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","7,190,067,884.52"
Governo do Estado do Ceará,23,CE,Executivo,8904459,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","7,568,492,510.02"
Governo do Estado do Ceará,23,CE,Executivo,8904459,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","6,811,643,259.02"
Governo do Estado do Ceará,23,CE,Executivo,8904459,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"6,892,779,827.01"
Governo do Distrito Federal,53,DF,Executivo,2914830,RECEITA CORRENTE LIQUIDA - RCL (IV),"18,891,180,516.45"
Governo do Distrito Federal,53,DF,Executivo,2914830,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","8,793,844,530.41"
Governo do Distrito Federal,53,DF,Executivo,2914830,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","9,256,678,453.06"
Governo do Distrito Federal,53,DF,Executivo,2914830,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","8,331,010,607.75"
Governo do Distrito Federal,53,DF,Executivo,2914830,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"8,893,655,744.89"
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,RECEITA CORRENTE LIQUIDA - RCL (IV),"11,887,670,740.12"
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","5,533,710,729.53"
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","5,824,958,662.66"
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","5,242,462,796.39"
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"5,172,047,357.03"
Governo do Estado de Goiás,52,GO,Executivo,6610681,RECEITA CORRENTE LIQUIDA - RCL (IV),"17,908,053,634.47"
Governo do Estado de Goiás,52,GO,Executivo,6610681,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","8,268,148,363.03"
Governo do Estado de Goiás,52,GO,Executivo,6610681,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","8,703,314,066.35"
Governo do Estado de Goiás,52,GO,Executivo,6610681,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","7,832,982,659.72"
Governo do Estado de Goiás,52,GO,Executivo,6610681,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"8,605,924,188.61"
Governo do Estado do Maranhão,21,MA,Executivo,6904241,RECEITA CORRENTE LIQUIDA - RCL (IV),"10,802,513,622.52"
Governo do Estado do Maranhão,21,MA,Executivo,6904241,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","5,028,570,091.28"
Governo do Estado do Maranhão,21,MA,Executivo,6904241,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","5,293,231,675.03"
Governo do Estado do Maranhão,21,MA,Executivo,6904241,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","4,763,908,507.53"
Governo do Estado do Maranhão,21,MA,Executivo,6904241,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"4,817,477,771.22"
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,RECEITA CORRENTE LIQUIDA - RCL (IV),"52,887,513,009.42"
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","24,619,137,305.89"
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","25,914,881,374.62"
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","23,323,393,237.16"
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"25,235,179,474.23"
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,RECEITA CORRENTE LIQUIDA - RCL (IV),"12,209,085,734.48"
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","5,683,329,409.41"
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","5,982,452,009.90"
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","5,384,206,808.91"
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"6,161,249,139.57"
Governo do Estado do Pará,15,PA,Executivo,8175113,RECEITA CORRENTE LIQUIDA - RCL (IV),"17,159,995,482.99"
Governo do Estado do Pará,15,PA,Executivo,8175113,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","7,922,769,914.49"
Governo do Estado do Pará,15,PA,Executivo,8175113,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","8,339,757,804.73"
Governo do Estado do Pará,15,PA,Executivo,8175113,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","7,505,782,024.26"
Governo do Estado do Pará,15,PA,Executivo,8175113,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"7,983,561,359.75"
Governo do Estado da Paraíba,25,PB,Executivo,3972202,RECEITA CORRENTE LIQUIDA - RCL (IV),"7,952,572,998.44"
Governo do Estado da Paraíba,25,PB,Executivo,3972202,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","3,701,922,730.78"
Governo do Estado da Paraíba,25,PB,Executivo,3972202,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","3,896,760,769.24"
Governo do Estado da Paraíba,25,PB,Executivo,3972202,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","3,507,084,692.32"
Governo do Estado da Paraíba,25,PB,Executivo,3972202,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"4,148,786,022.02"
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,RECEITA CORRENTE LIQUIDA - RCL (IV),"19,727,049,222.66"
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","9,182,941,413.15"
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","9,666,254,119.10"
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","8,699,628,707.19"
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"9,296,372,693.60"
Governo do Estado do Piauí,22,PI,Executivo,3204028,RECEITA CORRENTE LIQUIDA - RCL (IV),"6,689,897,326.15"
Governo do Estado do Piauí,22,PI,Executivo,3204028,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","3,114,147,205.32"
Governo do Estado do Piauí,22,PI,Executivo,3204028,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","3,278,049,689.81"
Governo do Estado do Piauí,22,PI,Executivo,3204028,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","2,950,244,720.83"
Governo do Estado do Piauí,22,PI,Executivo,3204028,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"3,158,800,003.23"
Governo do Estado do Paraná,41,PR,Executivo,11163018,RECEITA CORRENTE LIQUIDA - RCL (IV),"33,316,002,510.43"
Governo do Estado do Paraná,41,PR,Executivo,11163018,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","15,508,599,168.60"
Governo do Estado do Paraná,41,PR,Executivo,11163018,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","16,324,841,230.11"
Governo do Estado do Paraná,41,PR,Executivo,11163018,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","14,692,357,107.10"
Governo do Estado do Paraná,41,PR,Executivo,11163018,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"14,751,464,083.06"
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,RECEITA CORRENTE LIQUIDA - RCL (IV),"49,131,341,507.00"
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","22,870,639,471.51"
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","24,074,357,338.43"
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","21,666,921,604.59"
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"19,547,025,554.63"
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,RECEITA CORRENTE LIQUIDA - RCL (IV),"8,036,936,741.04"
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","3,741,194,052.95"
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","3,938,099,003.11"
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","3,544,289,102.80"
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"4,135,012,774.76"
Governo do Estado de Rondônia,11,RO,Executivo,1768204,RECEITA CORRENTE LIQUIDA - RCL (IV),"5,882,366,543.24"
Governo do Estado de Rondônia,11,RO,Executivo,1768204,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","2,738,241,625.88"
Governo do Estado de Rondônia,11,RO,Executivo,1768204,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","2,882,359,606.19"
Governo do Estado de Rondônia,11,RO,Executivo,1768204,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","2,594,123,645.57"
Governo do Estado de Rondônia,11,RO,Executivo,1768204,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"2,623,928,168.71"
Governo do Estado de Roraima,14,RR,Executivo,505665,RECEITA CORRENTE LIQUIDA - RCL (IV),"2,919,517,844.12"
Governo do Estado de Roraima,14,RR,Executivo,505665,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","1,359,035,556.44"
Governo do Estado de Roraima,14,RR,Executivo,505665,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","1,430,563,743.62"
Governo do Estado de Roraima,14,RR,Executivo,505665,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","1,287,507,369.26"
Governo do Estado de Roraima,14,RR,Executivo,505665,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"1,368,785,445.26"
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,RECEITA CORRENTE LIQUIDA - RCL (IV),"31,616,523,126.47"
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","14,717,491,515.37"
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","15,492,096,331.97"
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","13,942,886,698.77"
Governo do Estado do Rio Grande do Sul,43,RS,Executivo,11247972,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"15,021,430,484.51"
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,RECEITA CORRENTE LIQUIDA - RCL (IV),"19,795,816,098.69"
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","9,214,952,393.94"
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","9,699,949,888.36"
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","8,729,954,899.52"
Governo do Estado de Santa Catarina,42,SC,Executivo,6819190,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"9,250,726,345.73"
Governo do Estado de Sergipe,28,SE,Executivo,2242937,RECEITA CORRENTE LIQUIDA - RCL (IV),"6,297,705,692.82"
Governo do Estado de Sergipe,28,SE,Executivo,2242937,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","2,931,582,000.01"
Governo do Estado de Sergipe,28,SE,Executivo,2242937,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","3,085,875,789.48"
Governo do Estado de Sergipe,28,SE,Executivo,2242937,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","2,777,288,210.53"
Governo do Estado de Sergipe,28,SE,Executivo,2242937,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"2,907,154,236.31"
Governo do Estado de São Paulo,35,SP,Executivo,44396484,RECEITA CORRENTE LIQUIDA - RCL (IV),"141,496,347,936.12"
Governo do Estado de São Paulo,35,SP,Executivo,44396484,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","65,866,549,964.27"
Governo do Estado de São Paulo,35,SP,Executivo,44396484,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","69,333,210,488.70"
Governo do Estado de São Paulo,35,SP,Executivo,44396484,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","62,399,889,439.83"
Governo do Estado de São Paulo,35,SP,Executivo,44396484,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"65,606,626,652.91"
Governo do Estado do Tocantins,17,TO,Executivo,1515126,RECEITA CORRENTE LIQUIDA - RCL (IV),"6,435,301,473.51"
Governo do Estado do Tocantins,17,TO,Executivo,1515126,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","2,995,632,835.92"
Governo do Estado do Tocantins,17,TO,Executivo,1515126,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","3,153,297,722.02"
Governo do Estado do Tocantins,17,TO,Executivo,1515126,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","2,837,967,949.82"
Governo do Estado do Tocantins,17,TO,Executivo,1515126,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"3,389,057,457.56"
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,RECEITA CORRENTE LIQUIDA - RCL (IV),"3,906,065,810.23"
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","222,645,751.18"
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","234,363,948.61"
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","210,927,553.75"
Tribunal de Justiça do Estado do Acre,12,AC,Judiciário,803513,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"181,601,478.26"
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,RECEITA CORRENTE LIQUIDA - RCL (IV),"10,622,700,546.63"
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","605,493,931.16"
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","637,362,032.80"
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","573,625,829.52"
Tribunal de Justiça do Estado do Amazonas,13,AM,Judiciário,3938336,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"412,023,832.76"
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,RECEITA CORRENTE LIQUIDA - RCL (IV),"3,827,160,251.26"
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","218,148,134.32"
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","229,629,615.07"
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","206,666,653.56"
Tribunal de Justiça do Estado do Amapá,16,AP,Judiciário,766679,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"182,783,400.23"
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,RECEITA CORRENTE LIQUIDA - RCL (IV),"27,329,461,676.97"
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","1,557,779,315.59"
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","1,639,767,700.62"
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","1,475,790,930.56"
Tribunal de Justiça do Estado da Bahia,29,BA,Judiciário,15203934,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"1,379,748,080.61"
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,RECEITA CORRENTE LIQUIDA - RCL (IV),"15,573,029,856.00"
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","887,662,701.79"
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","934,381,791.36"
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","840,943,612.22"
Tribunal de Justiça do Estado do Ceará,23,CE,Judiciário,8904459,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"868,609,747.86"
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,RECEITA CORRENTE LIQUIDA - RCL (IV),"11,887,670,740.12"
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","677,597,232.19"
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","713,260,244.41"
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","641,934,219.97"
Tribunal de Justiça do Estado do Espírito Santo,32,ES,Judiciário,3929911,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"737,193,992.29"
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,RECEITA CORRENTE LIQUIDA - RCL (IV),"17,908,053,634.47"
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","1,020,759,057.17"
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","1,074,483,218.07"
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","967,034,896.26"
Tribunal de Justiça do Estado de Goiás,52,GO,Judiciário,6610681,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"896,361,770.89"
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,RECEITA CORRENTE LIQUIDA - RCL (IV),"10,802,513,622.53"
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","615,743,276.48"
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","648,150,817.35"
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","583,335,735.62"
Tribunal de Justiça do Estado do Maranhão,21,MA,Judiciário,6904241,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"587,422,190.47"
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,RECEITA CORRENTE LIQUIDA - RCL (IV),"52,887,513,009.42"
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,RECEITA CORRENTE LIQUIDA - RCL (IV),"52,887,513,009.42"
Tribunal de Justiça do Estado de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","2,969,369,417.92"
Tribunal de Justiça Militar de Minas Gerais,31,MG,Judiciário,20869101,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","45,218,823.62"
